date,day_of_week,month,is_weekend,is_holiday,reservation_status,reserved_visitors,reservation_count,visitors
2016-01-02,Saturday,1,1,1,No advance reservations,0,0,6
2016-01-03,Sunday,1,1,1,Reservations recorded,4,1,65
2016-01-04,Monday,1,0,0,No advance reservations,0,0,91
2016-01-07,Thursday,1,0,0,Reservations recorded,5,1,7
2016-01-09,Saturday,1,1,0,Reservations recorded,20,5,70
2016-01-10,Sunday,1,1,0,Reservations recorded,9,3,29
2016-01-11,Monday,1,0,1,No advance reservations,0,0,4
2016-01-13,Wednesday,1,0,0,Reservations recorded,3,1,9
2016-01-14,Thursday,1,0,0,Reservations recorded,4,1,15
2016-01-15,Friday,1,0,0,Reservations recorded,5,1,22
2016-01-16,Saturday,1,1,0,Reservations recorded,45,6,53
2016-01-17,Sunday,1,1,0,Reservations recorded,7,3,30
2016-01-18,Monday,1,0,0,Reservations recorded,13,4,22
2016-01-20,Wednesday,1,0,0,Reservations recorded,3,1,36
2016-01-21,Thursday,1,0,0,Reservations recorded,15,4,23
2016-01-22,Friday,1,0,0,Reservations recorded,7,3,17
2016-01-24,Sunday,1,1,0,Reservations recorded,18,5,109
2016-01-25,Monday,1,0,0,Reservations recorded,3,1,10
2016-01-26,Tuesday,1,0,0,Reservations recorded,42,1,42
2016-01-29,Friday,1,0,0,Reservations recorded,27,6,51
2016-01-30,Saturday,1,1,0,Reservations recorded,31,8,53
2016-01-31,Sunday,1,1,0,Reservations recorded,5,2,35
2016-02-01,Monday,2,0,0,Reservations recorded,14,3,22
2016-02-02,Tuesday,2,0,0,Reservations recorded,2,1,11
2016-02-03,Wednesday,2,0,0,Reservations recorded,3,1,7
2016-02-04,Thursday,2,0,0,Reservations recorded,6,1,9
2016-02-05,Friday,2,0,0,Reservations recorded,7,3,17
2016-02-06,Saturday,2,1,0,Reservations recorded,17,5,54
2016-02-07,Sunday,2,1,0,Reservations recorded,11,3,20
2016-02-08,Monday,2,0,0,Reservations recorded,18,2,26
2016-02-09,Tuesday,2,0,0,Reservations recorded,5,1,3
2016-02-10,Wednesday,2,0,0,Reservations recorded,15,3,28
2016-02-11,Thursday,2,0,1,Reservations recorded,18,3,35
2016-02-12,Friday,2,0,0,Reservations recorded,18,5,26
2016-02-13,Saturday,2,1,0,Reservations recorded,22,6,31
2016-02-15,Monday,2,0,0,Reservations recorded,5,2,14
2016-02-16,Tuesday,2,0,0,Reservations recorded,23,2,8
2016-02-17,Wednesday,2,0,0,Reservations recorded,38,7,64
2016-02-18,Thursday,2,0,0,Reservations recorded,2,1,5
2016-02-19,Friday,2,0,0,Reservations recorded,35,4,48
2016-02-20,Saturday,2,1,0,Reservations recorded,35,9,39
2016-02-21,Sunday,2,1,0,Reservations recorded,35,3,44
2016-02-22,Monday,2,0,0,Reservations recorded,9,2,22
2016-02-23,Tuesday,2,0,0,Reservations recorded,4,1,16
2016-02-24,Wednesday,2,0,0,Reservations recorded,33,6,53
2016-02-25,Thursday,2,0,0,Reservations recorded,6,2,21
2016-02-26,Friday,2,0,0,Reservations recorded,25,6,44
2016-02-27,Saturday,2,1,0,Reservations recorded,49,7,72
2016-02-28,Sunday,2,1,0,Reservations recorded,12,2,39
2016-02-29,Monday,2,0,0,Reservations recorded,4,1,6
2016-03-01,Tuesday,3,0,0,Reservations recorded,4,1,9
2016-03-02,Wednesday,3,0,0,Reservations recorded,4,2,15
2016-03-03,Thursday,3,0,0,Reservations recorded,8,2,8
2016-03-04,Friday,3,0,0,Reservations recorded,27,6,42
2016-03-05,Saturday,3,1,0,Reservations recorded,34,7,47
2016-03-06,Sunday,3,1,0,Reservations recorded,37,1,55
2016-03-07,Monday,3,0,0,Reservations recorded,13,1,20
2016-03-08,Tuesday,3,0,0,No advance reservations,0,0,17
2016-03-09,Wednesday,3,0,0,No advance reservations,0,0,2
2016-03-10,Thursday,3,0,0,Reservations recorded,10,2,20
2016-03-11,Friday,3,0,0,Reservations recorded,50,5,50
2016-03-12,Saturday,3,1,0,Reservations recorded,28,6,57
2016-03-13,Sunday,3,1,0,Reservations recorded,60,2,61
2016-03-14,Monday,3,0,0,Reservations recorded,45,4,49
2016-03-15,Tuesday,3,0,0,Reservations recorded,7,1,23
2016-03-16,Wednesday,3,0,0,Reservations recorded,11,2,15
2016-03-17,Thursday,3,0,0,Reservations recorded,25,1,31
2016-03-18,Friday,3,0,0,Reservations recorded,30,5,51
2016-03-19,Saturday,3,1,0,Reservations recorded,38,3,48
2016-03-20,Sunday,3,1,1,Reservations recorded,79,2,83
2016-03-21,Monday,3,0,1,Reservations recorded,20,4,37
2016-03-22,Tuesday,3,0,0,Reservations recorded,20,2,31
2016-03-23,Wednesday,3,0,0,Reservations recorded,34,4,44
2016-03-24,Thursday,3,0,0,Reservations recorded,10,3,22
2016-03-25,Friday,3,0,0,Reservations recorded,67,8,69
2016-03-26,Saturday,3,1,0,Reservations recorded,65,4,75
2016-03-27,Sunday,3,1,0,No advance reservations,0,0,21
2016-03-28,Monday,3,0,0,Reservations recorded,12,3,25
2016-03-29,Tuesday,3,0,0,Reservations recorded,24,5,40
2016-03-30,Wednesday,3,0,0,Reservations recorded,17,3,21
2016-04-01,Friday,4,0,0,Reservations recorded,5,1,22
2016-04-02,Saturday,4,1,0,Reservations recorded,10,3,34
2016-04-03,Sunday,4,1,0,Reservations recorded,6,2,29
2016-04-04,Monday,4,0,0,No advance reservations,0,0,4
2016-04-05,Tuesday,4,0,0,Reservations recorded,15,2,25
2016-04-06,Wednesday,4,0,0,Reservations recorded,2,1,8
2016-04-08,Friday,4,0,0,Reservations recorded,57,4,78
2016-04-09,Saturday,4,1,0,Reservations recorded,27,7,62
2016-04-10,Sunday,4,1,0,Reservations recorded,2,1,11
2016-04-12,Tuesday,4,0,0,Reservations recorded,7,1,21
2016-04-13,Wednesday,4,0,0,No advance reservations,0,0,19
2016-04-14,Thursday,4,0,0,No advance reservations,0,0,5
2016-04-15,Friday,4,0,0,Reservations recorded,20,4,43
2016-04-16,Saturday,4,1,0,Reservations recorded,41,9,36
2016-04-17,Sunday,4,1,0,Reservations recorded,4,1,32
2016-04-19,Tuesday,4,0,0,Reservations recorded,11,1,15
2016-04-20,Wednesday,4,0,0,Reservations recorded,10,2,12
2016-04-21,Thursday,4,0,0,Reservations recorded,33,1,39
2016-04-22,Friday,4,0,0,Reservations recorded,37,1,55
2016-04-23,Saturday,4,1,0,Reservations recorded,41,6,58
2016-04-24,Sunday,4,1,0,Reservations recorded,41,4,54
2016-04-25,Monday,4,0,0,No advance reservations,0,0,2
2016-04-26,Tuesday,4,0,0,Reservations recorded,12,1,17
2016-04-27,Wednesday,4,0,0,Reservations recorded,19,1,26
2016-04-28,Thursday,4,0,0,Reservations recorded,31,7,47
2016-04-29,Friday,4,0,1,Reservations recorded,4,1,31
2016-04-30,Saturday,4,1,0,Reservations recorded,20,6,43
2016-05-01,Sunday,5,1,0,Reservations recorded,24,6,66
2016-05-02,Monday,5,0,0,Reservations recorded,2,1,22
2016-05-03,Tuesday,5,0,1,Reservations recorded,42,3,55
2016-05-04,Wednesday,5,0,1,Reservations recorded,19,5,61
2016-05-05,Thursday,5,0,1,Reservations recorded,7,2,15
2016-05-06,Friday,5,0,0,Reservations recorded,9,4,12
2016-05-07,Saturday,5,1,0,Reservations recorded,32,9,44
2016-05-08,Sunday,5,1,0,Reservations recorded,14,2,42
2016-05-09,Monday,5,0,0,No advance reservations,0,0,3
2016-05-10,Tuesday,5,0,0,Reservations recorded,5,2,14
2016-05-11,Wednesday,5,0,0,Reservations recorded,8,1,12
2016-05-12,Thursday,5,0,0,Reservations recorded,3,1,9
2016-05-13,Friday,5,0,0,Reservations recorded,26,4,35
2016-05-14,Saturday,5,1,0,Reservations recorded,7,2,48
2016-05-15,Sunday,5,1,0,Reservations recorded,2,1,21
2016-05-17,Tuesday,5,0,0,Reservations recorded,9,2,7
2016-05-18,Wednesday,5,0,0,Reservations recorded,8,1,21
2016-05-19,Thursday,5,0,0,Reservations recorded,16,3,20
2016-05-20,Friday,5,0,0,Reservations recorded,25,4,33
2016-05-21,Saturday,5,1,0,Reservations recorded,26,8,51
2016-05-22,Sunday,5,1,0,Reservations recorded,36,3,48
2016-05-24,Tuesday,5,0,0,Reservations recorded,9,2,17
2016-05-25,Wednesday,5,0,0,Reservations recorded,30,6,37
2016-05-26,Thursday,5,0,0,Reservations recorded,9,3,16
2016-05-27,Friday,5,0,0,Reservations recorded,22,4,51
2016-05-28,Saturday,5,1,0,Reservations recorded,10,5,28
2016-05-29,Sunday,5,1,0,No advance reservations,0,0,11
2016-05-30,Monday,5,0,0,Reservations recorded,11,1,6
2016-05-31,Tuesday,5,0,0,No advance reservations,0,0,11
2016-06-01,Wednesday,6,0,0,Reservations recorded,7,2,18
2016-06-02,Thursday,6,0,0,Reservations recorded,8,1,29
2016-06-03,Friday,6,0,0,Reservations recorded,33,1,34
2016-06-04,Saturday,6,1,0,Reservations recorded,16,6,35
2016-06-05,Sunday,6,1,0,Reservations recorded,3,1,19
2016-06-06,Monday,6,0,0,No advance reservations,0,0,2
2016-06-07,Tuesday,6,0,0,Reservations recorded,6,1,14
2016-06-08,Wednesday,6,0,0,Reservations recorded,13,5,21
2016-06-09,Thursday,6,0,0,Reservations recorded,5,1,13
2016-06-10,Friday,6,0,0,Reservations recorded,14,3,24
2016-06-11,Saturday,6,1,0,Reservations recorded,26,5,42
2016-06-12,Sunday,6,1,0,Reservations recorded,9,2,29
2016-06-16,Thursday,6,0,0,Reservations recorded,8,1,15
2016-06-17,Friday,6,0,0,Reservations recorded,26,8,34
2016-06-18,Saturday,6,1,0,Reservations recorded,36,4,57
2016-06-19,Sunday,6,1,0,No advance reservations,0,0,9
2016-06-21,Tuesday,6,0,0,Reservations recorded,3,1,12
2016-06-22,Wednesday,6,0,0,Reservations recorded,37,1,44
2016-06-23,Thursday,6,0,0,Reservations recorded,2,1,8
2016-06-24,Friday,6,0,0,Reservations recorded,37,7,43
2016-06-25,Saturday,6,1,0,Reservations recorded,48,4,56
2016-06-26,Sunday,6,1,0,Reservations recorded,14,2,38
2016-06-27,Monday,6,0,0,Reservations recorded,2,1,5
2016-06-29,Wednesday,6,0,0,Reservations recorded,22,2,27
2016-06-30,Thursday,6,0,0,Reservations recorded,9,1,13
2016-07-01,Friday,7,0,0,Reservations recorded,41,3,44
2016-07-02,Saturday,7,1,0,Reservations recorded,36,5,40
2016-07-03,Sunday,7,1,0,Reservations recorded,13,2,14
2016-07-04,Monday,7,0,0,No advance reservations,0,0,12
2016-07-05,Tuesday,7,0,0,Reservations recorded,25,1,33
2016-07-06,Wednesday,7,0,0,Reservations recorded,2,1,14
2016-07-07,Thursday,7,0,0,No advance reservations,0,0,6
2016-07-08,Friday,7,0,0,Reservations recorded,15,4,20
2016-07-09,Saturday,7,1,0,Reservations recorded,36,7,53
2016-07-10,Sunday,7,1,0,Reservations recorded,12,4,23
2016-07-11,Monday,7,0,0,No advance reservations,0,0,3
2016-07-12,Tuesday,7,0,0,Reservations recorded,6,2,16
2016-07-13,Wednesday,7,0,0,No advance reservations,0,0,11
2016-07-14,Thursday,7,0,0,Reservations recorded,15,3,19
2016-07-15,Friday,7,0,0,Reservations recorded,32,2,49
2016-07-16,Saturday,7,1,0,Reservations recorded,37,9,53
2016-07-17,Sunday,7,1,0,Reservations recorded,22,5,50
2016-07-18,Monday,7,0,1,Reservations recorded,11,2,20
2016-07-19,Tuesday,7,0,0,No advance reservations,0,0,3
2016-07-20,Wednesday,7,0,0,No advance reservations,0,0,22
2016-07-21,Thursday,7,0,0,No advance reservations,0,0,5
2016-07-22,Friday,7,0,0,No advance reservations,0,0,36
2016-07-23,Saturday,7,1,0,No advance reservations,0,0,40
2016-07-24,Sunday,7,1,0,No advance reservations,0,0,49
2016-07-26,Tuesday,7,0,0,No advance reservations,0,0,28
2016-07-27,Wednesday,7,0,0,No advance reservations,0,0,24
2016-07-28,Thursday,7,0,0,No advance reservations,0,0,19
2016-07-29,Friday,7,0,0,No advance reservations,0,0,26
2016-07-30,Saturday,7,1,0,No advance reservations,0,0,37
2016-07-31,Sunday,7,1,0,No advance reservations,0,0,5
2016-08-02,Tuesday,8,0,0,No advance reservations,0,0,12
2016-08-03,Wednesday,8,0,0,No advance reservations,0,0,4
2016-08-04,Thursday,8,0,0,No advance reservations,0,0,3
2016-08-05,Friday,8,0,0,No advance reservations,0,0,50
2016-08-06,Saturday,8,1,0,No advance reservations,0,0,19
2016-08-07,Sunday,8,1,0,No advance reservations,0,0,12
2016-08-09,Tuesday,8,0,0,No advance reservations,0,0,10
2016-08-10,Wednesday,8,0,0,No advance reservations,0,0,68
2016-08-11,Thursday,8,0,1,No advance reservations,0,0,37
2016-08-12,Friday,8,0,0,No advance reservations,0,0,41
2016-08-13,Saturday,8,1,1,No advance reservations,0,0,35
2016-08-14,Sunday,8,1,1,No advance reservations,0,0,32
2016-08-15,Monday,8,0,1,No advance reservations,0,0,36
2016-08-16,Tuesday,8,0,0,No advance reservations,0,0,4
2016-08-17,Wednesday,8,0,0,No advance reservations,0,0,16
2016-08-18,Thursday,8,0,0,No advance reservations,0,0,12
2016-08-19,Friday,8,0,0,No advance reservations,0,0,47
2016-08-20,Saturday,8,1,0,No advance reservations,0,0,40
2016-08-21,Sunday,8,1,0,No advance reservations,0,0,20
2016-08-22,Monday,8,0,0,No advance reservations,0,0,4
2016-08-23,Tuesday,8,0,0,No advance reservations,0,0,25
2016-08-24,Wednesday,8,0,0,No advance reservations,0,0,39
2016-08-25,Thursday,8,0,0,No advance reservations,0,0,16
2016-08-26,Friday,8,0,0,No advance reservations,0,0,46
2016-08-27,Saturday,8,1,0,No advance reservations,0,0,49
2016-08-28,Sunday,8,1,0,No advance reservations,0,0,5
2016-08-29,Monday,8,0,0,No advance reservations,0,0,5
2016-08-30,Tuesday,8,0,0,No advance reservations,0,0,24
2016-08-31,Wednesday,8,0,0,No advance reservations,0,0,18
2016-09-01,Thursday,9,0,0,No advance reservations,0,0,7
2016-09-02,Friday,9,0,0,No advance reservations,0,0,82
2016-09-03,Saturday,9,1,0,No advance reservations,0,0,62
2016-09-04,Sunday,9,1,0,No advance reservations,0,0,44
2016-09-06,Tuesday,9,0,0,No advance reservations,0,0,10
2016-09-07,Wednesday,9,0,0,No advance reservations,0,0,8
2016-09-08,Thursday,9,0,0,No advance reservations,0,0,6
2016-09-09,Friday,9,0,0,No advance reservations,0,0,44
2016-09-10,Saturday,9,1,0,No advance reservations,0,0,43
2016-09-11,Sunday,9,1,0,No advance reservations,0,0,9
2016-09-12,Monday,9,0,0,No advance reservations,0,0,13
2016-09-13,Tuesday,9,0,0,No advance reservations,0,0,14
2016-09-14,Wednesday,9,0,0,No advance reservations,0,0,32
2016-09-15,Thursday,9,0,0,No advance reservations,0,0,17
2016-09-16,Friday,9,0,0,No advance reservations,0,0,14
2016-09-17,Saturday,9,1,0,No advance reservations,0,0,41
2016-09-18,Sunday,9,1,0,No advance reservations,0,0,18
2016-09-19,Monday,9,0,1,No advance reservations,0,0,21
2016-09-20,Tuesday,9,0,0,No advance reservations,0,0,8
2016-09-22,Thursday,9,0,1,No advance reservations,0,0,18
2016-09-23,Friday,9,0,0,No advance reservations,0,0,32
2016-09-24,Saturday,9,1,0,No advance reservations,0,0,47
2016-09-25,Sunday,9,1,0,No advance reservations,0,0,24
2016-09-27,Tuesday,9,0,0,No advance reservations,0,0,12
2016-09-28,Wednesday,9,0,0,No advance reservations,0,0,19
2016-09-29,Thursday,9,0,0,No advance reservations,0,0,21
2016-09-30,Friday,9,0,0,No advance reservations,0,0,39
2016-10-01,Saturday,10,1,0,No advance reservations,0,0,37
2016-10-02,Sunday,10,1,0,No advance reservations,0,0,26
2016-10-04,Tuesday,10,0,0,No advance reservations,0,0,8
2016-10-05,Wednesday,10,0,0,No advance reservations,0,0,12
2016-10-06,Thursday,10,0,0,No advance reservations,0,0,39
2016-10-07,Friday,10,0,0,No advance reservations,0,0,26
2016-10-08,Saturday,10,1,0,No advance reservations,0,0,34
2016-10-09,Sunday,10,1,0,No advance reservations,0,0,32
2016-10-10,Monday,10,0,1,No advance reservations,0,0,10
2016-10-11,Tuesday,10,0,0,No advance reservations,0,0,1
2016-10-12,Wednesday,10,0,0,No advance reservations,0,0,28
2016-10-13,Thursday,10,0,0,No advance reservations,0,0,18
2016-10-14,Friday,10,0,0,No advance reservations,0,0,50
2016-10-15,Saturday,10,1,0,No advance reservations,0,0,48
2016-10-16,Sunday,10,1,0,No advance reservations,0,0,16
2016-10-18,Tuesday,10,0,0,No advance reservations,0,0,15
2016-10-19,Wednesday,10,0,0,No advance reservations,0,0,11
2016-10-20,Thursday,10,0,0,No advance reservations,0,0,19
2016-10-21,Friday,10,0,0,No advance reservations,0,0,53
2016-10-22,Saturday,10,1,0,No advance reservations,0,0,77
2016-10-23,Sunday,10,1,0,No advance reservations,0,0,25
2016-10-25,Tuesday,10,0,0,No advance reservations,0,0,25
2016-10-26,Wednesday,10,0,0,No advance reservations,0,0,15
2016-10-27,Thursday,10,0,0,Reservations recorded,15,3,28
2016-10-28,Friday,10,0,0,Reservations recorded,14,4,27
2016-10-29,Saturday,10,1,0,Reservations recorded,13,4,45
2016-10-30,Sunday,10,1,0,Reservations recorded,14,3,27
2016-11-01,Tuesday,11,0,0,Reservations recorded,10,2,28
2016-11-02,Wednesday,11,0,0,Reservations recorded,4,2,30
2016-11-03,Thursday,11,0,1,No advance reservations,0,0,25
2016-11-04,Friday,11,0,0,Reservations recorded,17,3,23
2016-11-05,Saturday,11,1,0,Reservations recorded,24,7,27
2016-11-06,Sunday,11,1,0,No advance reservations,0,0,8
2016-11-07,Monday,11,0,0,Reservations recorded,7,1,19
2016-11-08,Tuesday,11,0,0,Reservations recorded,11,3,14
2016-11-09,Wednesday,11,0,0,No advance reservations,0,0,5
2016-11-10,Thursday,11,0,0,Reservations recorded,15,2,21
2016-11-11,Friday,11,0,0,Reservations recorded,3,1,14
2016-11-12,Saturday,11,1,0,Reservations recorded,21,3,54
2016-11-13,Sunday,11,1,0,No advance reservations,0,0,14
2016-11-15,Tuesday,11,0,0,Reservations recorded,10,1,23
2016-11-16,Wednesday,11,0,0,Reservations recorded,4,1,6
2016-11-17,Thursday,11,0,0,Reservations recorded,4,1,8
2016-11-18,Friday,11,0,0,Reservations recorded,19,4,29
2016-11-19,Saturday,11,1,0,Reservations recorded,38,8,46
2016-11-20,Sunday,11,1,0,Reservations recorded,5,2,31
2016-11-22,Tuesday,11,0,0,Reservations recorded,13,4,23
2016-11-24,Thursday,11,0,0,Reservations recorded,10,2,52
2016-11-25,Friday,11,0,0,Reservations recorded,9,2,25
2016-11-26,Saturday,11,1,0,Reservations recorded,36,7,64
2016-11-27,Sunday,11,1,0,Reservations recorded,9,2,16
2016-11-29,Tuesday,11,0,0,Reservations recorded,37,3,38
2016-11-30,Wednesday,11,0,0,Reservations recorded,5,1,10
2016-12-01,Thursday,12,0,0,No advance reservations,0,0,4
2016-12-02,Friday,12,0,0,Reservations recorded,32,3,39
2016-12-03,Saturday,12,1,0,Reservations recorded,68,5,84
2016-12-04,Sunday,12,1,0,No advance reservations,0,0,20
2016-12-06,Tuesday,12,0,0,No advance reservations,0,0,10
2016-12-07,Wednesday,12,0,0,Reservations recorded,9,1,15
2016-12-08,Thursday,12,0,0,Reservations recorded,3,1,6
2016-12-09,Friday,12,0,0,Reservations recorded,31,6,38
2016-12-10,Saturday,12,1,0,Reservations recorded,65,13,81
2016-12-11,Sunday,12,1,0,Reservations recorded,53,2,62
2016-12-13,Tuesday,12,0,0,Reservations recorded,21,4,24
2016-12-14,Wednesday,12,0,0,Reservations recorded,41,4,54
2016-12-15,Thursday,12,0,0,Reservations recorded,41,6,41
2016-12-16,Friday,12,0,0,Reservations recorded,59,6,75
2016-12-17,Saturday,12,1,0,Reservations recorded,80,13,67
2016-12-18,Sunday,12,1,0,Reservations recorded,16,4,61
2016-12-20,Tuesday,12,0,0,Reservations recorded,24,3,29
2016-12-21,Wednesday,12,0,0,Reservations recorded,32,6,40
2016-12-22,Thursday,12,0,0,Reservations recorded,41,2,59
2016-12-23,Friday,12,0,1,Reservations recorded,34,9,38
2016-12-24,Saturday,12,1,0,Reservations recorded,39,13,56
2016-12-25,Sunday,12,1,0,Reservations recorded,13,5,32
2016-12-26,Monday,12,0,0,Reservations recorded,37,6,48
2016-12-27,Tuesday,12,0,0,Reservations recorded,43,7,45
2016-12-28,Wednesday,12,0,0,Reservations recorded,45,10,72
2016-12-29,Thursday,12,0,1,Reservations recorded,65,15,73
2016-12-30,Friday,12,0,1,Reservations recorded,79,11,83
2016-12-31,Saturday,12,1,1,Reservations recorded,18,5,36
2017-01-02,Monday,1,0,1,Reservations recorded,36,8,60
2017-01-03,Tuesday,1,0,1,Reservations recorded,26,4,56
2017-01-04,Wednesday,1,0,0,Reservations recorded,9,1,16
2017-01-05,Thursday,1,0,0,No advance reservations,0,0,6
2017-01-06,Friday,1,0,0,Reservations recorded,23,5,21
2017-01-07,Saturday,1,1,0,Reservations recorded,36,5,53
2017-01-08,Sunday,1,1,0,Reservations recorded,33,7,43
2017-01-09,Monday,1,0,1,No advance reservations,0,0,13
2017-01-10,Tuesday,1,0,0,Reservations recorded,30,5,38
2017-01-11,Wednesday,1,0,0,Reservations recorded,4,1,17
2017-01-12,Thursday,1,0,0,Reservations recorded,20,3,20
2017-01-13,Friday,1,0,0,Reservations recorded,20,4,37
2017-01-14,Saturday,1,1,0,Reservations recorded,47,11,51
2017-01-16,Monday,1,0,0,No advance reservations,0,0,16
2017-01-17,Tuesday,1,0,0,Reservations recorded,29,1,29
2017-01-18,Wednesday,1,0,0,Reservations recorded,6,2,8
2017-01-19,Thursday,1,0,0,No advance reservations,0,0,7
2017-01-20,Friday,1,0,0,Reservations recorded,36,10,49
2017-01-21,Saturday,1,1,0,Reservations recorded,26,5,46
2017-01-22,Sunday,1,1,0,Reservations recorded,9,4,12
2017-01-23,Monday,1,0,0,Reservations recorded,10,3,19
2017-01-24,Tuesday,1,0,0,Reservations recorded,15,2,17
2017-01-25,Wednesday,1,0,0,Reservations recorded,33,2,35
2017-01-26,Thursday,1,0,0,Reservations recorded,16,3,21
2017-01-27,Friday,1,0,0,Reservations recorded,17,4,44
2017-01-28,Saturday,1,1,0,Reservations recorded,35,8,66
2017-01-29,Sunday,1,1,0,Reservations recorded,11,2,18
2017-01-30,Monday,1,0,0,Reservations recorded,7,1,18
2017-01-31,Tuesday,1,0,0,Reservations recorded,3,1,21
2017-02-01,Wednesday,2,0,0,Reservations recorded,2,1,5
2017-02-02,Thursday,2,0,0,No advance reservations,0,0,12
2017-02-03,Friday,2,0,0,Reservations recorded,12,5,24
2017-02-04,Saturday,2,1,0,Reservations recorded,32,1,42
2017-02-05,Sunday,2,1,0,Reservations recorded,4,1,8
2017-02-06,Monday,2,0,0,Reservations recorded,19,1,24
2017-02-08,Wednesday,2,0,0,Reservations recorded,5,2,11
2017-02-09,Thursday,2,0,0,Reservations recorded,10,3,23
2017-02-10,Friday,2,0,0,Reservations recorded,31,6,41
2017-02-11,Saturday,2,1,1,Reservations recorded,20,7,46
2017-02-12,Sunday,2,1,0,Reservations recorded,8,2,22
2017-02-13,Monday,2,0,0,Reservations recorded,4,1,15
2017-02-14,Tuesday,2,0,0,Reservations recorded,4,1,15
2017-02-15,Wednesday,2,0,0,Reservations recorded,25,4,31
2017-02-16,Thursday,2,0,0,Reservations recorded,5,2,7
2017-02-17,Friday,2,0,0,Reservations recorded,20,4,28
2017-02-18,Saturday,2,1,0,Reservations recorded,28,8,44
2017-02-19,Sunday,2,1,0,Reservations recorded,14,4,20
2017-02-20,Monday,2,0,0,Reservations recorded,10,2,13
2017-02-21,Tuesday,2,0,0,Reservations recorded,14,2,23
2017-02-22,Wednesday,2,0,0,Reservations recorded,16,3,25
2017-02-23,Thursday,2,0,0,Reservations recorded,2,1,6
2017-02-24,Friday,2,0,0,Reservations recorded,41,9,45
2017-02-25,Saturday,2,1,0,Reservations recorded,38,13,54
2017-02-26,Sunday,2,1,0,Reservations recorded,10,1,32
2017-02-27,Monday,2,0,0,Reservations recorded,29,6,33
2017-02-28,Tuesday,2,0,0,Reservations recorded,10,1,12
2017-03-01,Wednesday,3,0,0,Reservations recorded,10,3,19
2017-03-02,Thursday,3,0,0,Reservations recorded,5,2,9
2017-03-03,Friday,3,0,0,Reservations recorded,15,3,17
2017-03-04,Saturday,3,1,0,Reservations recorded,31,1,38
2017-03-05,Sunday,3,1,0,Reservations recorded,5,1,14
2017-03-06,Monday,3,0,0,Reservations recorded,2,1,13
2017-03-07,Tuesday,3,0,0,No advance reservations,0,0,6
2017-03-08,Wednesday,3,0,0,Reservations recorded,8,2,18
2017-03-09,Thursday,3,0,0,Reservations recorded,2,1,13
2017-03-10,Friday,3,0,0,Reservations recorded,41,1,48
2017-03-11,Saturday,3,1,0,Reservations recorded,6,2,41
2017-03-12,Sunday,3,1,0,Reservations recorded,16,5,24
2017-03-13,Monday,3,0,0,Reservations recorded,27,2,27
2017-03-14,Tuesday,3,0,0,Reservations recorded,5,1,16
2017-03-15,Wednesday,3,0,0,Reservations recorded,21,1,28
2017-03-16,Thursday,3,0,0,Reservations recorded,23,2,28
2017-03-17,Friday,3,0,0,Reservations recorded,4,2,21
2017-03-18,Saturday,3,1,0,Reservations recorded,55,4,72
2017-03-19,Sunday,3,1,0,Reservations recorded,4,2,23
2017-03-20,Monday,3,0,1,Reservations recorded,42,3,50
2017-03-21,Tuesday,3,0,0,No advance reservations,0,0,10
2017-03-22,Wednesday,3,0,0,Reservations recorded,8,1,16
2017-03-23,Thursday,3,0,0,Reservations recorded,9,2,15
2017-03-24,Friday,3,0,0,Reservations recorded,39,3,62
2017-03-25,Saturday,3,1,0,Reservations recorded,42,8,72
2017-03-26,Sunday,3,1,0,Reservations recorded,18,4,26
2017-03-27,Monday,3,0,0,Reservations recorded,5,1,13
2017-03-28,Tuesday,3,0,0,Reservations recorded,8,2,27
2017-03-29,Wednesday,3,0,0,Reservations recorded,66,2,66
2017-03-30,Thursday,3,0,0,Reservations recorded,14,2,25
2017-03-31,Friday,3,0,0,Reservations recorded,23,5,45
2017-04-01,Saturday,4,1,0,Reservations recorded,8,2,25
2017-04-02,Sunday,4,1,0,Reservations recorded,13,3,20
2017-04-03,Monday,4,0,0,Reservations recorded,17,2,17
2017-04-04,Tuesday,4,0,0,Reservations recorded,10,2,15
2017-04-05,Wednesday,4,0,0,Reservations recorded,35,1,35
2017-04-06,Thursday,4,0,0,Reservations recorded,3,1,3
2017-04-07,Friday,4,0,0,Reservations recorded,33,1,41
2017-04-08,Saturday,4,1,0,Reservations recorded,44,3,56
2017-04-09,Sunday,4,1,0,No advance reservations,0,0,6
2017-04-10,Monday,4,0,0,Reservations recorded,13,1,26
2017-04-11,Tuesday,4,0,0,No advance reservations,0,0,1
2017-04-12,Wednesday,4,0,0,Reservations recorded,22,3,37
2017-04-13,Thursday,4,0,0,Reservations recorded,6,1,19
2017-04-14,Friday,4,0,0,Reservations recorded,11,3,19
2017-04-15,Saturday,4,1,0,Reservations recorded,24,6,37
2017-04-16,Sunday,4,1,0,Reservations recorded,24,1,29
2017-04-17,Monday,4,0,0,No advance reservations,0,0,7
2017-04-18,Tuesday,4,0,0,Reservations recorded,12,3,18
2017-04-19,Wednesday,4,0,0,Reservations recorded,17,3,17
2017-04-20,Thursday,4,0,0,Reservations recorded,15,3,15
2017-04-21,Friday,4,0,0,Reservations recorded,40,3,41
2017-04-22,Saturday,4,1,0,Reservations recorded,29,6,39
